code,year,quarter,forward_return,industry,roe,gross_margin,net_margin,profit_yoy,asset_turnover,inventory_turnover,liability_to_asset,current_ratio,cfo_to_revenue,cfo_to_profit,interest_coverage,buy_price,pe,pb,ps,usable
sh600010,2019,1,-0.3607350927428088,钢铁,0.00924,0.165453,0.03621,-0.234215,0.091846,0.535632,0.630377,0.532483,0.012714,0.351106,1.95566,1.675979,24.414878,1.462334,1.145639,True
sh600010,2019,2,-0.25949367088607594,钢铁,0.019619,0.15526,0.034412,-0.264577,0.206216,1.196775,0.628685,0.553269,-0.005919,-0.172014,2.515628,1.56741056,22.691475,1.359111,1.064771,True
sh600010,2019,3,-0.17518248175182483,钢铁,0.022379,0.139844,0.02545,-0.483546,0.315151,1.837506,0.637021,0.630048,-0.020176,-0.79275,1.899302,1.35908384,28.275512,1.161243,0.949047,True
sh600010,2019,4,0.36111111111111105,钢铁,0.012701,0.128612,0.014103,-0.731475,0.428524,2.717282,0.585406,0.607225,-0.006102,-0.432662,1.905469,1.07139456,-343.668226,0.940152,0.779393,True
sh600010,2020,1,0.36111111111111105,钢铁,-0.006166,0.115887,-0.020078,-1.544971,0.091251,0.59146,0.573952,0.595051,-0.099539,2.3277520555555555,0.671994,1.07139456,-343.668226,0.940152,0.779393,True
sh600010,2020,2,1.2991452991452994,钢铁,0.001595,0.129404,0.006951,-0.813701,0.194484,1.304986,0.56474,0.589671,0.024433,3.514875,1.447393,1.16067744,-372.307245,1.018498,0.844342,True
sh600010,2020,3,1.3982300884955754,钢铁,0.003167,0.12854,0.008303,-0.698074,0.298799,1.974059,0.571798,0.637953,0.048837,5.88163,1.160187,1.12099616,7.374107291534391,1.4214533158730158,1.0602956277777777,True
sh600010,2020,4,0.26530612244897955,钢铁,0.007696,0.096658,0.011164,-0.259944,0.406895,2.791132,0.572762,0.682397,0.065358,5.854225,1.462407,1.45828704,45.765149,1.249006,1.054327,True
sh600010,2021,1,0.26530612244897955,钢铁,0.013797,0.137674,0.049508,4.26667,0.119164,0.798978,0.58131,0.73606,0.075233,1.519602,2.658088,1.45828704,45.765149,1.249006,1.054327,True
sh600010,2021,2,-0.17933454359129086,钢铁,0.050953,0.167286,0.079477,15.130958,0.265128,1.679689,0.579409,0.740904,0.113692,1.430492,5.105821,2.66856608,17.993370388888888,1.6386588333333332,1.3494140833333332,True
sh600010,2021,3,-0.3453371519618877,钢铁,0.068992,0.146194,0.066611,10.832966,0.431615,2.786591,0.569414,0.673505,0.13106,1.967535,3.640108,2.68840672,17.993370388888888,1.6386588333333332,1.3494140833333332,True
sh600010,2021,4,-0.01364610853690811,钢铁,0.053053,0.111824,0.036754,3.787299,0.589911,4.033113,0.566104,0.625594,0.127338,3.464627,3.221502,1.84517952,17.993370388888888,1.6386588333333332,1.3494140833333332,True
sh600010,2022,1,-0.01364610853690811,钢铁,0.005969,0.076529,0.011947,-0.721808,0.135531,0.959531,0.569396,0.647529,0.047018,3.93548,1.537841,1.84517952,5.1886167297297305,1.043294918918919,0.958235,True
